rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
9,sea,21,,Luke Stevenson,806233,75,16,21,4,1,1,.460,.860,.400,14,23,19,1,0,44,30,.280,C,A
10,mia,23,,Kemp Alderman,694580,488,69,139,20,5,22,.338,.820,.482,70,39,124,22,10,205,235,.285,OF,ALL (2)
10,was,21,,Ethan Petry,701337,87,11,25,3,1,2,.386,.800,.414,10,13,25,1,0,41,36,.287,OF,A
10,cle,21,,Dean Curley,806053,33,4,8,1,0,0,.286,.559,.273,2,2,11,1,1,16,9,.242,SS,A
10,stl,20,,Jesus Baez,800305,388,60,94,14,0,14,.326,.713,.387,57,46,80,9,5,198,150,.242,SS,ALL (3)
10,cws,19,,George Wolkow,805804,426,58,95,16,2,13,.317,.679,.362,69,54,147,33,6,242,154,.223,OF,A
10,nym,18,,Elian Peña,829033,178,47,52,13,1,9,.421,.949,.528,33,36,36,21,4,66,94,.292,SS,ROK
10,tor,25,,RJ Schreck,702302,342,62,85,14,2,18,.395,.854,.459,53,70,91,9,1,162,157,.249,LF,ALL (4)
10,col,23,,Roc Riggio,691792,321,60,84,20,1,20,.363,.880,.517,59,47,83,17,11,120,166,.262,2B,ALL (4)
10,oak,22,,Joshua Kuroda-Grauer,811965,497,63,147,30,1,2,.359,.731,.372,47,40,49,27,6,202,185,.296,SS,ALL (2)
10,mil,22,,Marco Dinges,701392,257,42,77,12,2,13,.416,.930,.514,62,49,61,5,1,134,132,.300,C,ALL (2)
10,ari,23,,LuJames Groover,694410,470,73,145,23,0,12,.399,.833,.434,56,63,79,3,2,227,204,.309,3B,AA
10,chc,22,,James Triantos,701649,440,69,114,24,2,7,.315,.685,.370,47,33,72,31,10,200,163,.259,2B,ALL (2)
10,la,19,,Ching-Hsien Ko,828667,294,61,91,18,4,4,.437,.876,.439,34,62,72,6,3,141,129,.310,OF,ALL (2)
10,sea,18,,Yorger Bautista,829045,193,38,43,8,3,7,.326,.730,.404,25,21,67,10,0,99,78,.223,OF,ROK
10,tex,18,,Elorky Rodriguez,829069,178,46,60,10,1,6,.473,.979,.506,48,39,38,9,8,72,90,.337,OF,ROK
10,tb,21,,Aidan Smith,806223,397,77,94,14,2,14,.331,.719,.388,59,53,143,41,6,174,154,.237,OF,A+
11,la,20,,Kellon Lindsey,813916,135,32,37,8,0,3,.379,.779,.400,22,23,51,11,2,61,54,.274,SS,ALL (2)
11,tb,23,,Tre' Morgan,691003,328,53,90,15,3,8,.398,.810,.412,45,64,77,8,4,114,135,.274,1B,AAA
11,cws,22,,Sam Antonacci,803011,406,78,118,21,6,5,.433,.842,.409,57,69,73,48,10,163,166,.291,ALL (3)
11,tex,22,,Malcolm Moore,702270,221,27,43,9,0,3,.300,.576,.276,27,26,51,5,1,100,61,.195,C,ALL (2)
11,stl,18,,Yairo Padilla,821107,120,21,34,4,3,0,.396,.763,.367,10,18,21,24,4,45,44,.283,SS,ROK
