yahoo_team_id,team_name,manager_name,fbp_abbr,player_id,player_key,name,first_name,last_name,position,eligible_positions,team,team_full,status,ownership_type,owned_by,percent_owned
3,Country Fried Lamb,Jake,CFL,11117,458.p.11117,Ranger Suárez,Ranger,Suárez,SP,,PHI,Philadelphia Phillies,NA,team,458.l.15505.t.3,82
3,Country Fried Lamb,Jake,CFL,11118,458.p.11118,Jeff McNeil,Jeff,McNeil,"2B,CF",,ATH, Athletics,,team,458.l.15505.t.3,14
3,Country Fried Lamb,Jake,CFL,11121,458.p.11121,Jeffrey Springs,Jeffrey,Springs,SP,,ATH, Athletics,,team,458.l.15505.t.3,34
1,Whiz Kids,Kyle,WIZ,11124,458.p.11124,Ramón Laureano,Ramón,Laureano,CF,,SD,San Diego Padres,DTD,team,458.l.15505.t.1,44
4,Hammers,Nathan,HAM,11125,458.p.11125,Brandon Lowe,Brandon,Lowe,"1B,2B",,PIT,Pittsburgh Pirates,,team,458.l.15505.t.4,79
4,Hammers,Nathan,HAM,11138,458.p.11138,Framber Valdez,Framber,Valdez,SP,,HOU,Houston Astros,NA,team,458.l.15505.t.4,92
7,Law Abiding Citizen,Mike,LAW ,11202,458.p.11202,Justin Steele,Justin,Steele,SP,,CHC,Chicago Cubs,IL60,team,458.l.15505.t.7,25
5,Jepordizers,John Mobley,JEP,11203,458.p.11203,Jimmy Herget,Jimmy,Herget,RP,,COL,Colorado Rockies,,team,458.l.15505.t.5,0
2,Btwn2Jackies,Lauren,B2J,11208,458.p.11208,Bryan Abreu,Bryan,Abreu,RP,,HOU,Houston Astros,,team,458.l.15505.t.2,56
8,not much of a donkey,ben,SAD,11221,458.p.11221,Luis Arraez,Luis,Arraez,"1B,2B",,SD,San Diego Padres,NA,team,458.l.15505.t.8,80
4,Hammers,Nathan,HAM,11235,458.p.11235,Logan Webb,Logan,Webb,SP,,SF,San Francisco Giants,,team,458.l.15505.t.4,97
1,Whiz Kids,Kyle,WIZ,11251,458.p.11251,Merrill Kelly,Merrill,Kelly,SP,,AZ,Arizona Diamondbacks,,team,458.l.15505.t.1,76
