FBP_Team,manager,name,team,position,player_type,contract_type,status,years_simple,yahoo_id,upid
RV,Rick Vaughn,Andrew Abbott,CIN,SP,MLB,,[5] TC1,TC 1,,3612
RV,Rick Vaughn,Brenton Doyle,COL,CF,MLB,Keeper Contract,[5] TC1,TC 1,,3623
RV,Rick Vaughn,Josue De Paula,LAD,OF,Farm,Purchased Contract,[7] P,P,,3661
RV,Rick Vaughn,Bubba Chandler,PIT,RHP,Farm,Purchased Contract,[7] P,P,,3779
RV,Rick Vaughn,Lawrence Butler,OAK,OF,MLB,Keeper Contract,[5] TC1,TC 1,,3854
RV,Rick Vaughn,Cam Collier,CIN,3B,Farm,Purchased Contract,[7] P,P,,3891
RV,Rick Vaughn,Tyler Locklear,SEA,1B,Farm,Purchased Contract,[7] P,P,,3905
RV,Rick Vaughn,Parker Messick,CLE,LHP,Farm,Purchased Contract,[7] P,P,,3913
RV,Rick Vaughn,Owen Murphy,ATL,RHP,Farm,Farm Contract,[7] P,P,,3920
RV,Rick Vaughn,Noah Schultz,CWS,LHP,Farm,Purchased Contract,[7] P,P,,3934
RV,Rick Vaughn,Kumar Rocker,TEX,RHP,Farm,Purchased Contract,[7] P,P,,3937
RV,Rick Vaughn,Robby Snelling,MIA,LHP,Farm,Purchased Contract,[7] P,P,,3940
RV,Rick Vaughn,Jordan Beck,COL,OF,MLB,Keeper Contract,[5] TC1,TC 1,,3946
RV,Rick Vaughn,Kyle Manzardo,CLE,1B,MLB,Keeper Contract,[6] TCR,TC R,,3994
RV,Rick Vaughn,Matt Brash,SEA,RP,MLB,Keeper Contract,[5] TC1,TC 1,,4048
