UPID,Rank,Player,Team,Position,School,Level,eta,Age,Height / Weight,Bats,Throws,FV,composite score
8097,226,Drew Faurot,MIA,2B,Florida State,A,-,22,"6' 3"" / 207 lbs",S,R,37.5,172.1428571
8112,227,Jacob Morrison,MIL,RHP,Coastal Carolina,ROK,-,22,"6' 8"" / 245 lbs",R,R,,162.1428571
8113,228,Zane Taylor,,RHP,UNC Wilmington,AAA,2027,23,"6' 0"" / 200 lbs",R,R,0,162.8571429
8098,229,Ethan Hedges,COL,3B,Southern California,A+,2028,21,"6' 1"" / 185 lbs",R,R,40,175
8115,230,Rylan Galvan,,C,Texas,A,-,22,"6' 0"" / 215 lbs",R,R,0,164.2857143
8116,231,Brent Iredale,,3B,Arkansas,A,-,22,"6' 3"" / 200 lbs",R,R,0,165
8118,232,John Stuetzer,,OF/SS,Pope (GA),-,-,19,"5' 11"" / 190 lbs",R,R,0,165.7142857
8119,233,Jacob McCombs,,OF,UC Irvine,A,-,21,"6' 2"" / 200 lbs",L,R,0,166.4285714
8120,234,Trey Morris,,LHP,Washington Union (CA),-,-,19,"6' 3"" / 220 lbs",L,L,0,167.1428571
8121,235,Nelson Keljo,,LHP,Oregon State,ROK,-,22,"6' 4"" / 228 lbs",L,L,0,167.8571429
8122,236,Lorenzo Meola,,SS,Stetson,A,2028,22,"5' 11"" / 172 lbs",R,R,0,168.5714286
8109,237,Grant Jay,,C/OF,Dallas Baptist,ROK,-,22,"6' 0"" / 225 lbs",R,R,37.5,180
8125,238,Damian Bravo,,OF,Texas Tech,A+,-,22,"6' 2"" / 195 lbs",R,R,0,170
8126,239,Cody Bowker,PHI,RHP,Vanderbilt,ROK,2028,22,"6' 1"" / 212 lbs",R,R,,170.7142857
8127,240,Bobby Boser,,3B/2B/SS,Florida,A,2028,23,"6' 1"" / 215 lbs",R,R,0,171.4285714
8128,241,Jake Clemente,,RHP,Florida,A,-,22,"6' 3"" / 225 lbs",R,R,0,172.1428571
8129,242,Grayson Grinsell,,LHP,Oregon,ROK,2028,21,"6' 1"" / 195 lbs",L,L,0,172.8571429
8114,243,James Quinn-Irons,TBR,OF,George Mason,A,2028,22,"6' 5"" / 230 lbs",R,R,40,185
8130,244,Jason Reitz,,RHP,Oregon,ROK,2028,21,"6' 11"" / 215 lbs",R,R,0,174.2857143
