#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName,CBSSportsName,CBSSportsID
122,Andrew McKirahan,605374,12870,,8990,*03mnz*,MIA,P,P,McKirahan,Andrew,McKirahan,Andrew,Andrew McKirahan,Andrew McKirahan P | MIA,0
123,Tyler Anderson,542881,12880,12880,9107,*026mq*,FA,SP,SP,Anderson,Tyler,,,,Tyler Anderson P | FA,1894636
124,Alex Claudio,592222,12890,12890,8868,*02zbn*,MIL,RP,RP,Claudio,Alex,,,,Alex Claudio P | MIL,0
125,Ken Giles,571704,12910,12910,8810,*02bvf*,SEA,RP,RP,Giles,Ken,,,,Ken Giles P | SEA,2044511
126,Francisco Lindor,596019,12916,12916,8226,*02611*,NYM,SS,SS,Lindor,Francisco,Lindor,Francisco,Francisco Lindor,Francisco Lindor SS | NYM,1894627
127,Brandon Nimmo,607043,12927,12927,8955,*02bq2*,TEX,OF,OF,Nimmo,Brandon,Nimmo,Brandon,Brandon Nimmo,Brandon Nimmo OF | TEX,1894663
128,Joe Musgrove,605397,12970,12970,9248,*02bqy*,SD,SP,SP,Musgrove,Joe,Musgrove,Joe,Joe Musgrove,Joe Musgrove P | SD,2002312
129,Austin Hedges,595978,12976,12976,8431,*02brk*,CLE,C,C,Hedges,Austin,Hedges,Austin,Austin Hedges,Austin Hedges C | CLE,1947852
130,Javier Baez,595879,12979,12979,8643,*026mn*,DET,SS/3B/ OF,2B/SS/ 3B/OF,Baez,Javier,Báez,Javier,Javier Báez,"Javier Baez 3B,SS,OF | DET",1894628
131,Andrew Chafin,605177,12988,12988,8863,*02bqd*,MIN,RP,RP,Chafin,Andrew,Chafin,Andrew,Andrew Chafin,Andrew Chafin P | MIN,1967936
132,Teoscar Hernandez,606192,13066,13066,9428,*02xic*,LAD,OF,OF,Hernandez,Teoscar,Hernández,Teoscar,Teoscar Hernández,Teoscar Hernandez OF | LAD,2119659
133,Yu Darvish,506433,13074,13074,8210,*01c5l*,SD,SP,SP,Darvish,Yu,Darvish,Yu,Yu Darvish,Yu Darvish P | SD,1937347
134,Gerrit Cole,543037,13125,13125,8231,*01spo*,NYY,SP,SP,Cole,Gerrit,Cole,Gerrit,Gerrit Cole,Gerrit Cole P | NYY,1893753
135,Derek Law,571882,13133,13133,9289,*02bx6*,ARI,RP,RP,Law,Derek,Law,Derek,Derek Law,Derek Law P | ARI,2114069
136,Josh Bell,605137,13145,13145,8962,*026lz*,MIN,1B,1B,Bell,Josh,Bell,Josh,Josh Bell,Josh Bell 1B | MIN,1940495
137,Jorge Polanco,593871,13152,13152,8832,*02yd1*,NYM,2B,2B/3B,Polanco,Jorge,Polanco,Jorge,Jorge Polanco,Jorge Polanco 2B | NYM,2106657
138,Eduardo Rodriguez,593958,13164,13164,8632,*029si*,ARI,SP,SP,Rodriguez,Eduardo,Rodriguez,Eduardo,Eduardo Rodriguez,Eduardo Rodriguez P | ARI,2042426
139,Orlando Arcia,606115,13185,13185,8950,*02i1q*,MIN,2B/SS/ 3B,2B/SS/ 3B,Arcia,Orlando,Arcia,Orlando,Orlando Arcia,"Orlando Arcia 2B,3B,SS | MIN",2041500
140,Michael Fulmer,605242,13218,13218,9217,*02bqj*,SF,RP,RP,Fulmer,Michael,Fulmer,Michael,Michael Fulmer,Michael Fulmer P | SF,2007003
141,Jesse Hahn,534910,13287,13287,8803,*020dj*,TOR,RP,RP,Hahn,Jesse,Hahn,Jesse,Jesse Hahn,Jesse Hahn P | TOR,2053477
142,Danny Coulombe,543056,13293,13293,8921,*02hxd*,BOS,RP,RP,Coulombe,Danny,,,,Danny Coulombe P | BOS,2120231
143,Max Muncy,571970,13301,13301,8691,*02mzg*,LAD,3B,3B,Muncy,Max,Muncy,Max,Max Muncy,Max Muncy 3B | LAD,2106304
144,Ildemaro Vargas,545121,13324,13324,9562,*0433b*,ARI,2B,1B/2B/ 3B,Vargas,Ildemaro,Vargas,Ildemaro,Ildemaro Vargas,Ildemaro Vargas 2B | ARI,2050861
145,Omar Narvaez,553882,13338,13338,9400,*043f8*,FA,C,C,Narvaez,Omar,,,,Omar Narvaez C | FA,2171702
146,Luis Cessa,570666,13345,13345,9200,*03am2*,CIN,SP,SP,Cessa,Luis,,,,Luis Cessa P | CIN,2208984
147,Luke Maile,571912,13355,13355,9143,*02n1q*,KC,C,C,Maile,Luke,Maile,Luke,Luke Maile,Luke Maile C | KC,2117544
148,Steven Matz,571927,13361,13361,8689,*02h8d*,TB,SP,SP,Matz,Steven,Matz,Steven,Steven Matz,Steven Matz P | TB,2107839
149,Christian Walker,572233,13419,13419,8924,*02mw3*,HOU,1B,1B,Walker,Christian,Walker,Christian,Christian Walker,Christian Walker 1B | HOU,2044379
150,Marcus Stroman,573186,13431,13431,8721,*02hg4*,FA,SP,SP,Stroman,Marcus,,,,Marcus Stroman P | FA,2001082
151,Pierce Johnson,572955,13435,13435,8645,*02hdy*,CIN,RP,RP,Johnson,Pierce,Johnson,Pierce,Pierce Johnson,Pierce Johnson P | CIN,2044525
152,Taylor Rogers,573124,13449,13449,9225,*02n3l*,MIN,RP,RP,Rogers,Taylor,Rogers,Taylor,Taylor Rogers,Taylor Rogers P | MIN,2164751
153,Lucas Sims,608371,13470,13470,8630,*02mw7*,CHW,RP,RP,Sims,Lucas,Sims,Lucas,Lucas Sims,Lucas Sims P | CHW,2041268
154,Connor Sadzeck,592712,13483,13483,9241,*02byy*,MIL,RP,RP,Sadzeck,Connor,,,,Connor Sadzeck P | MIL,2118802
155,Tom Murphy,608596,13499,13499,8657,*02t8m*,FA,C,C,Murphy,Tom,,,,Tom Murphy C | FA,2064804
156,Jose Ramirez,608070,13510,13510,8594,*01ub6*,CLE,3B,3B,Ramirez,Jose,Ramírez,José,José Ramírez,Jose Ramirez 3B | CLE,2044495
157,Matt Bowman,621199,13528,13528,9273,*02n53*,MIN,RP,RP,Bowman,Matt,Bowman,Matt,Matt Bowman,Matt Bowman P | MIN,2166519
158,Blake Snell,605483,13543,13543,9328,*02bqr*,LAD,SP,SP,Snell,Blake,Snell,Blake,Blake Snell,Blake Snell P | LAD,2006996
159,Steven Okert,595345,13580,13580,9290,*02myt*,HOU,RP,RP,Okert,Steven,Okert,Steven,Steven Okert,Steven Okert P | HOU,2167292
160,Jesse Winker,608385,13590,13590,8647,*02mwg*,FA,OF,OF,Winker,Jesse,,,,Jesse Winker OF | FA,2044492
161,Robert Stephenson,596112,13594,13594,8650,*02bq7*,LAA,RP,RP,Stephenson,Robert,Stephenson,Robert,Robert Stephenson,Robert Stephenson P | LAA,1894642
162,Patrick Wisdom,621550,13602,13602,9805,*02mws*,SEA,3B,3B,Wisdom,Patrick,Wisdom,Patrick,Patrick Wisdom,Patrick Wisdom 3B | SEA,2046043
163,Mookie Betts,605141,13611,13611,8638,*02btf*,LAD,SS,SS,Betts,Mookie,Betts,Mookie,Mookie Betts,Mookie Betts SS | LAD,2106654
164,Ketel Marte,606466,13613,13613,9112,*0326s*,ARI,2B,2B,Marte,Ketel,Marte,Ketel,Ketel Marte,Ketel Marte 2B | ARI,1963334
165,Carson Kelly,608348,13620,13620,9452,*02mxf*,CHC,C,C,Kelly,Carson,Kelly,Carson,Carson Kelly,Carson Kelly C | CHC,2044542
166,Jeimer Candelario,600869,13621,13621,9264,*027fx*,LAA,1B/3B,1B/3B,Candelario,Jeimer,Candelario,Jeimer,Jeimer Candelario,"Jeimer Candelario 1B,3B | LAA",2051255
167,Corey Seager,608369,13624,13624,8668,*02mw6*,TEX,SS,SS,Seager,Corey,Seager,Corey,Corey Seager,Corey Seager SS | TEX,2041873
168,Jake Faria,607188,13699,13699,9189,*02by3*,BOS,RP,RP,Faria,Jake,,,,Jake Faria P | BOS,0
169,Kyle Barraclough,607457,13713,13713,9121,*02n0z*,BOS,RP,RP,Barraclough,Kyle,,,,Kyle Barraclough P | BOS,2186085
