rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev
361,fa,30,145,Josh Rojas,668942,115,8,21,5,0,0,0.258,0.484,0.226,6,12,35,4,1,52,0.183,129,26,41,3B,MLB
362,fa,27,138,Jose Barrero,676480,29,4,4,1,0,1,0.194,0.47,0.276,3,1,9,0,0,17,0.138,31,8,22,SS,MLB
363,fa,25,133,Denzel Clarke,672016,84,9,16,2,0,1,0.218,0.468,0.25,3,2,39,4,0,42,0.19,87,21,27,CF,MLB
364,fa,32,114,Austin Hedges,595978,63,5,7,0,0,3,0.208,0.462,0.254,4,8,25,1,0,32,0.111,73,16,28,C,MLB
365,fa,22,140,Alejandro Osuna,696030,34,1,5,0,0,0,0.293,0.44,0.147,1,6,11,0,2,17,0.147,41,5,15,LF,MLB
366,fa,29,142,Jonah Bride,681146,109,7,18,2,0,0,0.246,0.429,0.183,5,11,38,0,0,49,0.165,122,20,43,3B,MLB
367,fa,26,140,Ezequiel Duran,677649,56,4,8,4,0,0,0.21,0.424,0.214,2,2,19,0,0,23,0.143,62,12,26,SS,MLB
368,fa,29,111,Connor Wong,657136,70,6,11,0,0,0,0.259,0.416,0.157,1,9,18,1,0,46,0.157,81,11,29,C,MLB
369,fa,29,114,Lane Thomas,657041,93,5,14,1,0,1,0.221,0.415,0.194,6,8,32,3,0,49,0.151,104,18,29,CF,MLB
370,fa,28,144,Luke Williams,663897,14,3,2,1,0,0,0.2,0.414,0.214,2,0,3,3,0,16,0.143,15,3,18,SS,MLB
371,fa,27,112,Vidal Bruján,660644,31,5,5,2,0,0,0.188,0.414,0.226,2,1,8,2,1,17,0.161,32,7,25,3B,MLB
372,fa,28,121,Hayden Senger,663584,29,3,5,1,0,0,0.2,0.407,0.207,0,1,10,0,0,9,0.172,30,6,14,C,MLB
373,fa,28,120,Riley Adams,656180,62,6,6,1,0,3,0.125,0.383,0.258,8,1,28,0,0,29,0.097,64,16,22,C,MLB
374,fa,31,108,Scott Kingery,664068,21,2,3,1,0,0,0.182,0.372,0.19,0,1,8,1,0,12,0.143,22,4,10,2B,MLB
375,fa,29,117,César Salazar,663967,6,0,1,0,0,0,0.167,0.334,0.167,0,0,1,0,0,4,0.167,6,1,6,C,MLB
376,fa,30,137,Andrew Knizner,668800,24,3,2,0,0,1,0.12,0.328,0.208,1,1,4,0,0,13,0.083,25,5,9,C,MLB
377,fa,28,145,Vinny Capra,681962,91,10,10,2,0,1,0.144,0.309,0.165,6,3,23,2,0,54,0.11,99,15,44,3B,MLB
378,fa,30,117,Luis Guillorme,641645,16,1,2,0,0,0,0.176,0.301,0.125,0,1,7,0,0,11,0.125,17,2,8,2B,MLB
379,fa,30,110,Chadwick Tromp,644433,13,1,1,1,0,0,0.143,0.297,0.154,0,1,6,0,0,11,0.077,14,2,5,C,MLB
380,fa,28,142,DaShawn Keirsey Jr.,680577,67,7,7,0,0,1,0.143,0.292,0.149,4,2,22,5,3,33,0.104,70,10,49,RF,MLB
381,fa,27,109,Jake McCarthy,664983,41,2,3,1,0,0,0.17,0.268,0.098,3,4,6,1,0,22,0.073,47,4,14,CF,MLB
382,fa,27,118,Tyler Tolbert,686475,8,3,1,0,0,0,0.125,0.25,0.125,0,0,3,8,0,8,0.125,8,1,16,2B,MLB
383,fa,26,146,Jack Winkler,676466,9,0,1,0,0,0,0.111,0.222,0.111,0,0,4,0,0,4,0.111,9,1,6,2B,MLB
384,fa,26,137,Brett Wisely,689172,10,1,0,0,0,0,0.0,0.0,0.0,2,0,3,0,1,6,0.0,12,0,6,2B,MLB
385,fa,34,112,Colin Rea,607067,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,1,0,16,P,MLB
