rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
276,atl,26,144,675911,Spencer Strider,8,1.14,42.0,31,20,19,17,53,5,126,174,712,4.07,0,0,0,3,5,8,0,0,HAM,HAM,12281,SP
277,mia,25,146,678368,Valente Bellozo,12,1.29,39.2,37,19,18,14,31,4,119,168,673,4.08,0,0,1,1,3,5,0,0,,,,
278,phi,27,143,666200,Jesús Luzardo,16,1.37,90.1,95,44,41,29,104,7,271,385,1524,4.08,0,0,0,7,3,16,0,0,LFB,LFB,10627,SP
279,hou,31,117,669854,Ronel Blanco,9,1.18,48.1,37,22,22,20,48,7,145,199,794,4.1,0,0,0,3,4,9,0,0,JEP,JEP,12590,SP
280,laa,28,108,656271,Brock Burke,36,1.63,30.2,35,14,14,15,26,4,92,140,535,4.11,0,9,2,4,1,0,0,0,,,,
281,laa,28,108,656271,Brock Burke,36,1.63,30.2,35,14,14,15,26,4,92,140,535,4.11,0,9,2,4,1,0,0,0,,,,
282,ari,23,109,679885,Justin Martinez,17,1.24,15.1,7,8,7,12,22,1,46,67,269,4.11,5,4,1,1,2,0,0,0,,,,
283,tex,31,140,657097,Jacob Webb,31,1.11,35.0,27,16,16,12,26,5,105,144,540,4.11,1,6,2,4,3,0,0,0,,,,
284,lad,31,119,607455,Anthony Banda,36,1.29,35.0,26,16,16,19,27,5,105,144,569,4.11,0,4,1,4,1,0,0,0,,,,
285,cle,32,114,670036,Matt Festa,21,1.02,19.2,14,9,9,6,18,0,59,79,261,4.12,0,6,0,1,1,0,0,0,,,,
286,cle,32,114,670036,Matt Festa,21,1.02,19.2,14,9,9,6,18,0,59,79,261,4.12,0,6,0,1,1,0,0,0,,,,
287,cin,28,113,663903,Brady Singer,15,1.3,80.2,72,40,37,33,67,9,242,341,1362,4.13,0,0,0,7,5,15,0,0,,,,
288,fa,27,4904,669308,Sean Reynolds,16,1.11,21.2,16,10,10,8,19,3,65,88,367,4.15,0,2,0,0,1,1,0,0,,,,
289,cin,31,113,664139,Ian Gibaut,23,1.31,23.2,23,11,11,8,15,3,71,101,362,4.18,0,3,1,0,1,0,0,0,,,,
290,wsh,28,120,663623,Jake Irvin,16,1.23,94.2,90,44,44,26,66,16,284,398,1472,4.18,0,0,0,6,3,16,0,0,,,,
291,cin,27,113,668933,Graham Ashcraft,29,1.51,34.1,38,21,16,14,38,2,103,151,563,4.19,0,9,2,5,4,0,0,0,,,,
292,sf,28,137,663546,Sean Hjelle,7,1.41,10.2,8,5,5,7,7,2,32,46,168,4.22,0,0,0,1,1,1,0,0,,,,
293,det,22,116,695549,Jackson Jobe,10,1.49,49.0,46,24,23,27,39,7,147,218,877,4.22,0,0,0,4,1,10,0,0,WAR,WAR,12422,"SP,RP"
294,laa,37,108,445276,Kenley Jansen,31,1.3,27.2,26,13,13,10,25,6,83,120,457,4.23,15,0,0,1,2,0,0,0,TBB,TBB,8758,RP
295,oak,32,133,605488,Jeffrey Springs,16,1.23,87.0,75,50,41,32,72,13,261,369,1442,4.24,0,0,0,6,5,14,0,0,,,,
296,lad,38,119,489446,Kirby Yates,29,1.33,23.1,24,12,11,7,36,4,70,101,434,4.24,2,12,2,4,2,0,0,0,,,,
297,tex,35,140,571578,Patrick Corbin,14,1.28,76.1,75,36,36,23,59,12,229,319,1208,4.24,0,0,0,4,7,14,1,0,,,,
298,oak,27,133,682052,Jacob Lopez,10,1.44,36.0,36,20,17,16,49,6,108,165,686,4.25,0,0,0,1,4,6,0,0,LAW,LAW,62642,SP
299,cle,26,114,671106,Logan Allen,15,1.5,72.0,76,38,34,32,54,8,216,319,1290,4.25,0,0,0,5,5,14,0,0,,,,
300,fa,34,235,554431,Tyler Matzek,7,2.53,6.1,11,3,3,5,7,0,19,35,127,4.26,0,0,0,0,0,0,0,0,,,,
301,fa,28,400,686993,Justin Sterner,29,1.43,27.1,25,14,13,14,30,5,82,123,518,4.28,0,7,4,1,3,1,0,0,,,,
302,cle,26,114,682847,Luis L. Ortiz,15,1.41,81.2,74,40,39,41,91,10,245,354,1399,4.3,0,0,0,4,8,15,0,0,,,,
303,stl,36,138,571945,Miles Mikolas,15,1.28,77.1,80,39,37,19,51,7,232,328,1221,4.31,0,0,0,4,5,15,0,0,,,,
