rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games
422,fa,26,,Joey Ortiz,687401,245,29,52,8,0,2,0.272,0.541,0.269,14,17,46,8,3,114,0.212,270,66,77
423,fa,40,,Justin Turner,457759,101,7,20,2,0,1,0.286,0.534,0.248,12,13,20,1,0,41,0.198,119,25,42
424,fa,40,,Justin Turner,457759,101,7,20,2,0,1,0.286,0.534,0.248,12,13,20,1,0,41,0.198,119,25,42
425,fa,27,,Andrew Vaughn,683734,185,9,35,8,0,5,0.218,0.532,0.314,19,7,43,0,0,91,0.189,193,58,48
426,fa,26,,Patrick Bailey,672275,173,19,33,9,1,1,0.259,0.531,0.272,16,17,62,0,0,80,0.191,195,47,60
427,fa,25,,Jarred Kelenic,672284,60,7,10,2,0,2,0.231,0.531,0.3,2,5,23,0,1,27,0.167,65,18,23
428,fa,26,,Leody Taveras,665750,171,13,35,6,1,3,0.226,0.53,0.304,17,5,50,9,3,71,0.205,180,52,58
429,fa,38,,Martín Maldonado,455117,103,7,19,3,0,3,0.229,0.53,0.301,7,6,40,0,0,35,0.184,113,31,44
430,fa,23,,Coby Mayo,691723,56,4,11,4,0,0,0.262,0.53,0.268,4,5,16,1,0,28,0.196,61,15,18
431,fa,31,,Paul DeJong,657557,54,3,11,4,0,0,0.246,0.524,0.278,2,2,24,2,0,24,0.204,57,15,16
432,fa,31,,Paul DeJong,657557,54,3,11,4,0,0,0.246,0.524,0.278,2,2,24,2,0,24,0.204,57,15,16
433,fa,30,,Orlando Arcia,606115,88,5,18,2,1,1,0.239,0.523,0.284,5,4,18,0,0,39,0.205,92,25,31
434,fa,29,,Stuart Fairchild,656413,33,7,6,1,1,0,0.25,0.523,0.273,2,3,9,2,1,16,0.182,36,9,22
435,fa,24,,Jorge Barrosa,678489,15,1,3,2,0,0,0.188,0.521,0.333,4,0,5,0,0,6,0.2,16,5,5
436,fa,34,,Christian Vázquez,543877,123,10,22,6,0,2,0.244,0.52,0.276,9,11,24,0,1,63,0.179,135,34,41
437,fa,28,,Brandon Lockridge,663604,88,9,19,4,0,0,0.258,0.519,0.261,5,4,24,8,1,38,0.216,95,23,47
438,fa,25,,Oswald Peraza,672724,114,13,18,5,0,3,0.238,0.519,0.281,13,11,34,0,0,57,0.158,126,32,50
439,fa,35,,Austin Barnes,605131,42,4,9,3,0,0,0.233,0.519,0.286,2,1,14,0,0,22,0.214,44,12,13
440,fa,29,,David Fry,681807,33,3,5,1,0,1,0.243,0.516,0.273,3,3,16,1,0,21,0.152,37,9,15
441,fa,30,,Jorge Mateo,622761,61,7,11,3,0,1,0.231,0.51,0.279,3,4,23,14,1,36,0.18,65,17,32
442,fa,25,,Johnathan Rodríguez,671286,29,3,5,2,1,0,0.2,0.51,0.31,1,1,11,0,0,12,0.172,30,9,12
443,fa,29,,Jhonny Pereda,640902,40,3,7,2,0,0,0.283,0.508,0.225,3,6,13,0,0,12,0.175,46,9,19
444,fa,28,,Daz Cameron,663662,41,7,8,1,0,1,0.214,0.507,0.293,3,1,13,1,0,13,0.195,42,12,21
445,fa,33,,Joc Pederson,592626,122,10,16,5,1,2,0.269,0.507,0.238,6,20,28,1,0,67,0.131,146,29,46
446,fa,27,,David Hamilton,666152,105,14,19,3,0,3,0.211,0.506,0.295,10,3,30,12,3,44,0.181,111,31,53
447,fa,26,,Will Wagner,695238,59,4,11,2,0,0,0.284,0.504,0.22,2,8,15,1,0,20,0.186,68,13,20
448,fa,24,,Nasim Nuñez,683083,43,6,8,2,0,0,0.271,0.504,0.233,5,5,10,7,1,21,0.186,49,10,23
449,fa,28,,Cal Stevenson,670276,8,0,2,0,0,0,0.25,0.5,0.25,1,0,2,0,0,5,0.25,8,2,5
450,fa,32,,Dairon Blanco,680118,6,2,1,1,0,0,0.167,0.5,0.333,1,0,2,3,2,3,0.167,8,2,9
451,fa,32,,Tim Anderson,641313,83,8,17,3,0,0,0.258,0.499,0.241,3,3,29,1,1,23,0.205,90,20,31
452,fa,30,,Garrett Hampson,641658,48,10,8,1,0,0,0.31,0.498,0.188,0,10,16,2,1,18,0.167,60,9,27
453,fa,27,,Gustavo Campero,672569,15,1,3,0,0,0,0.294,0.494,0.2,0,2,2,1,0,6,0.2,17,3,7
454,fa,35,,Jason Heyward,518792,85,9,15,2,0,2,0.223,0.494,0.271,12,6,20,0,1,47,0.176,95,23,34
455,fa,35,,Jason Heyward,518792,85,9,15,2,0,2,0.223,0.494,0.271,12,6,20,0,1,47,0.176,95,23,34
456,fa,35,,Jon Berti,542932,82,12,17,2,0,0,0.261,0.493,0.232,2,4,20,8,1,39,0.207,88,19,38
457,fa,29,,Sean Bouchard,656248,66,7,11,0,1,1,0.247,0.489,0.242,7,7,27,1,1,23,0.167,73,16,32
458,fa,29,,Mickey Gasper,681508,34,5,6,1,0,0,0.282,0.488,0.206,3,4,9,0,0,16,0.176,39,7,17
459,fa,30,,Josh Rojas,668942,115,8,21,5,0,0,0.258,0.484,0.226,6,12,35,4,1,52,0.183,129,26,41
460,fa,33,,Hunter Renfroe,592669,99,5,18,6,0,0,0.241,0.483,0.242,4,8,21,0,0,46,0.182,108,24,35
461,fa,27,,Michael Massey,686681,198,10,40,5,0,2,0.221,0.479,0.258,14,5,32,1,0,96,0.202,209,51,56
462,fa,31,,Pablo Reyes,622569,31,4,6,1,0,0,0.242,0.468,0.226,2,2,10,1,0,13,0.194,34,7,25
463,fa,31,,Pablo Reyes,622569,31,4,6,1,0,0,0.242,0.468,0.226,2,2,10,1,0,13,0.194,34,7,25
464,fa,36,,Kevin Pillar,607680,43,6,9,2,0,0,0.209,0.465,0.256,1,0,8,3,0,10,0.209,43,11,20
465,fa,36,,Kevin Pillar,607680,43,6,9,2,0,0,0.209,0.465,0.256,1,0,8,3,0,10,0.209,43,11,20
466,fa,22,,Adael Amador,691182,89,3,13,4,0,1,0.24,0.465,0.225,5,10,25,1,1,35,0.146,102,20,33
467,fa,27,,Aaron Schunk,668845,28,1,6,1,0,0,0.214,0.464,0.25,0,0,8,0,0,14,0.214,29,7,11
468,fa,29,,Michael Stefanic,683021,22,1,4,0,0,0,0.28,0.462,0.182,0,3,3,0,0,13,0.182,25,4,9
469,fa,32,,Austin Hedges,595978,63,5,7,0,0,3,0.208,0.462,0.254,4,8,25,1,0,32,0.111,73,16,28
470,fa,28,,Ali Sánchez,645305,11,0,2,1,0,0,0.182,0.455,0.273,0,0,3,0,0,6,0.182,11,3,5
471,fa,28,,Bryan De La Cruz,650559,47,1,9,1,0,0,0.24,0.453,0.213,0,3,18,1,0,20,0.191,50,10,16
472,fa,28,,Bryan De La Cruz,650559,47,1,9,1,0,0,0.24,0.453,0.213,0,3,18,1,0,20,0.191,50,10,16
473,fa,28,,Owen Miller,680911,14,0,2,0,0,0,0.294,0.437,0.143,1,2,4,1,0,6,0.143,17,2,9
474,fa,24,,Brayan Rocchio,677587,91,8,15,3,0,0,0.235,0.433,0.198,8,5,21,2,2,45,0.165,102,18,35
475,fa,29,,Jonah Bride,681146,109,7,18,2,0,0,0.246,0.429,0.183,5,11,38,0,0,49,0.165,122,20,43
476,fa,27,,Oliver Dunn,686554,36,4,6,2,0,0,0.205,0.427,0.222,6,2,11,1,0,16,0.167,41,8,14
477,fa,31,,Kevin Newman,621028,77,8,15,2,0,0,0.205,0.426,0.221,4,1,15,1,0,32,0.195,79,17,35
478,fa,26,,Ezequiel Duran,677649,56,4,8,4,0,0,0.21,0.424,0.214,2,2,19,0,0,23,0.143,62,12,26
479,fa,26,,Jose Miranda,669304,36,2,6,0,0,1,0.167,0.417,0.25,5,0,13,0,0,25,0.167,36,9,12
480,fa,29,,Connor Wong,657136,70,6,11,0,0,0,0.259,0.416,0.157,1,9,18,1,0,46,0.157,81,11,29
481,fa,29,,Lane Thomas,657041,93,5,14,1,0,1,0.221,0.415,0.194,6,8,32,3,0,49,0.151,104,18,29
482,fa,29,,Alan Trejo,676701,40,3,7,2,0,0,0.19,0.415,0.225,1,1,7,0,0,16,0.175,43,9,14
483,fa,29,,Lane Thomas,657041,93,5,14,1,0,1,0.221,0.415,0.194,6,8,32,3,0,49,0.151,104,18,29
484,fa,28,,Luke Williams,663897,14,3,2,1,0,0,0.2,0.414,0.214,2,0,3,3,0,16,0.143,15,3,18
485,fa,27,,Vidal Bruján,660644,31,5,5,2,0,0,0.188,0.414,0.226,2,1,8,2,1,17,0.161,32,7,25
486,fa,31,,Jeimer Candelario,600869,80,3,9,2,0,2,0.198,0.411,0.213,10,9,29,0,1,36,0.113,91,17,22
487,fa,26,,Jack Suwinski,669261,42,4,5,1,0,0,0.26,0.403,0.143,1,8,20,4,0,26,0.119,50,6,18
488,fa,33,,Kris Bryant,592178,39,2,6,2,0,0,0.195,0.4,0.205,1,2,13,0,0,25,0.154,41,8,11
489,fa,35,,Jacob Stallings,607732,84,4,12,3,0,0,0.217,0.396,0.179,6,5,31,0,0,48,0.143,93,15,29
490,fa,23,,Jhonkensy Noel,678877,103,12,15,2,0,2,0.168,0.391,0.223,9,3,34,0,0,46,0.146,107,23,46
491,fa,28,,Riley Adams,656180,62,6,6,1,0,3,0.125,0.383,0.258,8,1,28,0,0,29,0.097,64,16,22
492,fa,24,,Jace Jung,690291,45,8,5,0,0,0,0.245,0.356,0.111,3,7,15,0,0,15,0.111,53,5,18
493,fa,27,,Blake Sabol,666165,16,2,2,1,0,0,0.167,0.355,0.188,1,1,7,0,0,12,0.125,18,3,8
494,fa,28,,CJ Alexander,680769,17,0,3,0,0,0,0.176,0.352,0.176,0,0,8,0,0,8,0.176,17,3,6
495,fa,27,,Jacob Hurtubise,674441,12,3,1,0,0,0,0.267,0.35,0.083,0,1,6,0,0,7,0.083,15,1,12
496,fa,26,,Akil Baddoo,668731,17,0,2,1,0,0,0.167,0.343,0.176,1,1,5,1,0,8,0.118,18,3,7
497,fa,26,,MJ Melendez,669004,47,4,4,1,0,1,0.173,0.343,0.17,1,3,20,0,0,17,0.085,52,8,16
498,fa,41,,Yuli Gurriel,493329,36,2,4,1,0,0,0.2,0.339,0.139,3,4,8,0,0,22,0.111,40,5,16
499,fa,29,,César Salazar,663967,6,0,1,0,0,0,0.167,0.334,0.167,0,0,1,0,0,4,0.167,6,1,6
500,fa,30,,Andrew Knizner,668800,24,3,2,0,0,1,0.12,0.328,0.208,1,1,4,0,0,13,0.083,25,5,9
501,fa,27,,Will Brennan,686823,11,0,1,0,0,0,0.231,0.322,0.091,0,1,1,0,1,5,0.091,13,1,6
502,fa,27,,Jerar Encarnacion,666464,22,1,3,1,0,0,0.136,0.318,0.182,0,0,6,1,0,16,0.136,22,4,8
503,fa,28,,Vinny Capra,681962,91,10,10,2,0,1,0.144,0.309,0.165,6,3,23,2,0,54,0.11,99,15,44
504,fa,29,,Jose Siri,642350,20,5,1,1,0,0,0.208,0.308,0.1,1,4,8,2,0,10,0.05,24,2,10
505,fa,30,,Luis Guillorme,641645,16,1,2,0,0,0,0.176,0.301,0.125,0,1,7,0,0,11,0.125,17,2,8
506,fa,30,,Luis Guillorme,641645,16,1,2,0,0,0,0.176,0.301,0.125,0,1,7,0,0,11,0.125,17,2,8
507,fa,30,,Luis Guillorme,641645,16,1,2,0,0,0,0.176,0.301,0.125,0,1,7,0,0,11,0.125,17,2,8
508,fa,27,,Ben Rortvedt,666163,63,2,6,1,0,0,0.186,0.297,0.111,6,7,14,0,0,31,0.095,70,7,26
509,fa,30,,Chadwick Tromp,644433,13,1,1,1,0,0,0.143,0.297,0.154,0,1,6,0,0,11,0.077,14,2,5
510,fa,27,,Ryan Kreidler,668952,38,5,4,0,0,0,0.19,0.295,0.105,0,4,19,2,0,22,0.105,44,4,17
511,fa,28,,DaShawn Keirsey Jr.,680577,67,7,7,0,0,1,0.143,0.292,0.149,4,2,22,5,3,33,0.104,70,10,49
512,fa,26,,Ryan Vilade,668723,13,1,1,0,0,0,0.2,0.277,0.077,0,2,5,0,0,9,0.077,15,1,7
513,fa,27,,Jake McCarthy,664983,41,2,3,1,0,0,0.17,0.268,0.098,3,4,6,1,0,22,0.073,47,4,14
514,fa,25,,Ji Hwan Bae,678225,11,3,1,0,0,0,0.167,0.258,0.091,0,1,5,2,0,4,0.091,12,1,7
515,fa,26,,Luis Campusano,669134,18,0,0,0,0,0,0.25,0.25,0.0,0,6,9,0,0,11,0.0,24,0,9
516,fa,33,,Eddie Rosario,592696,8,1,1,0,0,0,0.125,0.25,0.125,0,0,2,0,0,6,0.125,8,1,5
517,fa,33,,Eddie Rosario,592696,8,1,1,0,0,0,0.125,0.25,0.125,0,0,2,0,0,6,0.125,8,1,5
518,fa,26,,Jacob Amaya,676070,62,6,6,1,0,0,0.119,0.232,0.113,7,2,15,2,0,29,0.097,68,7,34
519,fa,26,,Jacob Amaya,676070,62,6,6,1,0,0,0.119,0.232,0.113,7,2,15,2,0,29,0.097,68,7,34
520,fa,32,,J.D. Davis,605204,9,0,1,0,0,0,0.111,0.222,0.111,0,0,3,0,0,4,0.111,9,1,5
521,fa,32,,J.D. Davis,605204,9,0,1,0,0,0,0.111,0.222,0.111,0,0,3,0,0,4,0.111,9,1,5
522,fa,30,,Nicky Lopez,670032,24,2,1,0,0,0,0.179,0.221,0.042,1,4,4,0,0,13,0.042,28,1,19
523,fa,35,,Nick Ahmed,605113,9,1,0,0,0,0,0.1,0.1,0.0,0,1,3,1,0,6,0.0,10,0,5
524,fa,35,,Nick Ahmed,605113,9,1,0,0,0,0,0.1,0.1,0.0,0,1,3,1,0,6,0.0,10,0,5
525,fa,35,,Nick Ahmed,605113,9,1,0,0,0,0,0.1,0.1,0.0,0,1,3,1,0,6,0.0,10,0,5
526,fa,26,,Brett Wisely,689172,10,1,0,0,0,0,0.0,0.0,0.0,2,0,3,0,1,6,0.0,12,0,6
527,fa,34,,Colin Rea,607067,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,1,0,16
528,fa,25,,Jordyn Adams,677941,1,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,1,0,5
529,fa,26,,Shay Whitcomb,694376,9,0,0,0,0,0,0.0,0.0,0.0,0,0,5,0,0,4,0.0,9,0,7
