Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2011,"Christian Friedrich","COL","AA",23,133.1,0.31554524,1.263513513,0.222737819,0.433874709,0.34338747,0.202702702,0.135135135,0.45333333,0.22,0.32666667,0.09545663,743,1436,2179,"7942"
2008,"Frank Herrmann","CLE","AA",24,131.2,0.31002331,0.695431472,0.221445221,0.319347319,0.459207459,0.208121827,0.045685279,0.43150685,0.24885845,0.3196347,0.23630137,167,709,876,"7960"
2007,"Frank Herrmann","CLE","A+",23,146,0.30769231,0.945945945,0.101871101,0.436590436,0.461538461,0.234234234,0.067567567,0.40365112,0.23732252,0.35902637,0.19979296,165,801,966,"7960"
2010,"Anthony Bass","SDP","A+",22,132.1,0.29562982,1.5,0.12532637,0.524804177,0.349869451,0.179104477,0.067164179,0.4534005,0.24937028,0.29722922,0.25825472,107,741,848,"7982"
2008,"Marcus Walden","TOR","A-",19,60,0.34375,2.34,0.116402116,0.619047619,0.264550264,0.16,0.08,0.41919192,0.24747475,0.33333333,0.28603604,94,350,444,"8004"
2013,"Marcus Walden","TOR","AA",24,162.1,0.31876138,2.453846153,0.174632352,0.586397058,0.238970588,0.146153846,0.069230769,0.47670251,0.26344086,0.25985663,0.06802157,852,1559,2411,"8004"
2008,"Eric Stults","LAD","AAA",28,117.2,0.30144928,1.096296296,0.196022727,0.420454545,0.383522727,0.177777777,0.103703703,0.50417827,0.25348189,0.24233983,0.09922481,711,1224,1935,"8011"
2007,"Wes Whisler","CHW","AA",24,156.2,0.32570423,2.085526315,0.151898734,0.573236889,0.274864376,0.157894736,0.065789473,0.50604491,0.22107081,0.27288428,0.18245968,185,807,992,"8023"
2008,"Wes Whisler","CHW","AAA",25,156,0.29744526,2.126760563,0.179297597,0.558225508,0.262476894,0.190140845,0.084507042,0.4686941,0.24329159,0.28801431,0.0686658,832,1469,2301,"8023"
2009,"Wes Whisler","CHW","AAA",26,152.2,0.2992278,1.671140939,0.225680933,0.484435797,0.289883268,0.234899328,0.067114093,0.4573055,0.25426945,0.28842505,0.0809322,899,1461,2360,"8023"
2006,"Thomas Diamond","TEX","AA",23,129.1,0.28125,,,,,,,,,,,,,,"8025"
2010,"Thad Weber","DET","AA",25,167.2,0.30113636,1.158163265,0.194285714,0.432380952,0.373333333,0.137755102,0.086734693,0.43566176,0.24080882,0.32352941,0.21953405,212,904,1116,"8036"
2011,"Thad Weber","DET","AAA",26,151.1,0.31223629,1.56,0.222672064,0.47368421,0.303643724,0.206666666,0.186666666,0.52286282,0.23459245,0.24254473,0.08824725,886,1573,2459,"8036"
2012,"Thad Weber","DET","AAA",27,128.2,0.27720207,1.503816793,0.16751269,0.5,0.332487309,0.099236641,0.122137404,0.4775,0.255,0.2675,0.09373382,703,1228,1931,"8036"
2015,"Thad Weber","DET","AAA",30,161,0.2950495,1.457831325,0.204678362,0.471734892,0.323586744,0.168674698,0.114457831,0.47428571,0.28761905,0.23809524,0.07348643,865,1530,2395,"8036"
2016,"Thad Weber","DET","AAA",31,129.2,0.30717489,1.607692307,0.234762979,0.471783295,0.293453724,0.169230769,0.092307692,0.50547046,0.25820569,0.23632385,0.0630123,727,1225,1952,"8036"
