Unique Player ID Database,,next: 7940,,,,No Accents ,,Approved Dupe,Report an Issue
Amed Rosario,CLE,"SS,OF",2066,,,Amed Rosario,,FALSE,
Amell Brazoban,TOR,OF,5957,,,Amell Brazoban,,FALSE,
Amir Garrett,KC,P,2067,,,Amir Garrett,,FALSE,
Amos Willingham,WSH,SIRP,6897,,,Amos Willingham,,FALSE,
Anderson Brito,HOU,RHP,7697,,,Anderson Brito,,FALSE,
Anderson Espinoza,SD,P,4270,,,Anderson Espinoza,,FALSE,
Anderson Navas,PHI,C,7238,,,Anderson Navas,,FALSE,
Anderson Paulino,KC,SIRP,6935,,,Anderson Paulino,,FALSE,
Anderson Pilar,ATL,RP,7237,,,Anderson Pilar,,FALSE,
Anderson Severino,CWS,P,4116,,,Anderson Severino,,FALSE,
Anderson Tejeda,STL,"3B,SS",2068,,,Anderson Tejeda,,FALSE,
Andre Granillo,STL,RP,5956,,,Andre Granillo,,FALSE,
Andre Jackson,LAD,P,3690,,,Andre Jackson,,FALSE,
Andre Lipcius,DET,3B,5955,,,Andre Lipcius,,FALSE,
Andre Pallante,STL,P,4051,,,Andre Pallante,,FALSE,
Andre Scrubb,HOU,P,2070,,,Andre Scrubb,,FALSE,
Andrelton Simmons,CHC,"2B,SS",2071,,,Andrelton Simmons,,FALSE,
Andres Alvarez,PIT,"2B,3B",5954,,,Andres Alvarez,,FALSE,
Andres Angulo,BAL,C,5953,,,Andres Angulo,,FALSE,
Andres Blanco,MIL,"2B,SS",6512,,,Andres Blanco,,FALSE,
Andres Chaparro,NYY,1B/3B,3977,Andrés Chaparro,,Andres Chaparro,,FALSE,
Andrés Giménez,CLE,"2B,SS",2073,Andres Gimenez,,Andres Gimenez,,FALSE,
Andres Machado,WSH,P,2074,,,Andres Machado,,FALSE,
Andrés Muñoz,SEA,P,4018,Andres Munoz,,Andres Munoz,,FALSE,
Andres Sosa,TOR,C,5952,,,Andres Sosa,,FALSE,
Andres Valor,MIA,OF,7142,,,Andres Valor,,FALSE,
Andrew Abbott,CIN,LHP,3612,,,Andrew Abbott,,FALSE,
Andrew Albers,MIN,P,2076,,,Andrew Albers,,FALSE,
Andrew Baker,PHI,RHP,4572,,,Andrew Baker,,FALSE,
Andrew Bechtold,MIN,3B,5951,,,Andrew Bechtold,,FALSE,
Andrew Bellatti,PHI,P,2077,,,Andrew Bellatti,,FALSE,
